ObjID,H_r,u-r,g-r,i-r,z-r,y-r,GS
39565,18.46,1.72,0.48,-0.11,-0.12,-0.12,0.15
39572,16.56,1.72,0.48,-0.11,-0.12,-0.12,0.15
39796,15.84,1.72,0.48,-0.11,-0.12,-0.12,0.15
40263,17.78,1.72,0.48,-0.11,-0.12,-0.12,0.15
40267,15.57,1.72,0.48,-0.11,-0.12,-0.12,0.15
40329,17.71,1.72,0.48,-0.11,-0.12,-0.12,0.15
41429,20.66,1.72,0.48,-0.11,-0.12,-0.12,0.15
41440,19.88,1.72,0.48,-0.11,-0.12,-0.12,0.15
42286,16.65,1.72,0.48,-0.11,-0.12,-0.12,0.15
48603,17.82,1.72,0.48,-0.11,-0.12,-0.12,0.15
52340,18.1,1.72,0.48,-0.11,-0.12,-0.12,0.15
52381,20.07,1.72,0.48,-0.11,-0.12,-0.12,0.15
52387,17.77,1.72,0.48,-0.11,-0.12,-0.12,0.15
52689,19.17,1.72,0.48,-0.11,-0.12,-0.12,0.15
52750,16.68,1.72,0.48,-0.11,-0.12,-0.12,0.15
52760,17.51,1.72,0.48,-0.11,-0.12,-0.12,0.15
52761,17.99,1.72,0.48,-0.11,-0.12,-0.12,0.15
52762,14.88,1.72,0.48,-0.11,-0.12,-0.12,0.15
52768,16.04,1.72,0.48,-0.11,-0.12,-0.12,0.15
53110,16.73,1.72,0.48,-0.11,-0.12,-0.12,0.15
53319,15.36,1.72,0.48,-0.11,-0.12,-0.12,0.15
53409,18.73,1.72,0.48,-0.11,-0.12,-0.12,0.15
53426,17.19,1.72,0.48,-0.11,-0.12,-0.12,0.15
53429,18.94,1.72,0.48,-0.11,-0.12,-0.12,0.15
53430,16.66,1.72,0.48,-0.11,-0.12,-0.12,0.15
53435,14.74,1.72,0.48,-0.11,-0.12,-0.12,0.15
53550,19.15,1.72,0.48,-0.11,-0.12,-0.12,0.15
53789,17.39,1.72,0.48,-0.11,-0.12,-0.12,0.15
54071,17.43,1.72,0.48,-0.11,-0.12,-0.12,0.15
54401,17.23,1.72,0.48,-0.11,-0.12,-0.12,0.15
54509,22.66,1.72,0.48,-0.11,-0.12,-0.12,0.15
54660,17.93,1.72,0.48,-0.11,-0.12,-0.12,0.15
54686,16.62,1.72,0.48,-0.11,-0.12,-0.12,0.15
54690,17.52,1.72,0.48,-0.11,-0.12,-0.12,0.15
54789,15.09,1.72,0.48,-0.11,-0.12,-0.12,0.15
55408,18.82,1.72,0.48,-0.11,-0.12,-0.12,0.15
55532,16.14,1.72,0.48,-0.11,-0.12,-0.12,0.15
65674,18.28,1.72,0.48,-0.11,-0.12,-0.12,0.15
65679,19.62,1.72,0.48,-0.11,-0.12,-0.12,0.15
65690,19.06,1.72,0.48,-0.11,-0.12,-0.12,0.15
65706,16.57,1.72,0.48,-0.11,-0.12,-0.12,0.15
65717,20.87,1.72,0.48,-0.11,-0.12,-0.12,0.15
65733,18.43,1.72,0.48,-0.11,-0.12,-0.12,0.15
65803,18.11,1.72,0.48,-0.11,-0.12,-0.12,0.15
65909,19.3,1.72,0.48,-0.11,-0.12,-0.12,0.15
65996,18.49,1.72,0.48,-0.11,-0.12,-0.12,0.15
66008,15.99,1.72,0.48,-0.11,-0.12,-0.12,0.15
66063,18.15,1.72,0.48,-0.11,-0.12,-0.12,0.15
66146,14.42,1.72,0.48,-0.11,-0.12,-0.12,0.15
66251,17.04,1.72,0.48,-0.11,-0.12,-0.12,0.15
66253,18.4,1.72,0.48,-0.11,-0.12,-0.12,0.15
66272,17.24,1.72,0.48,-0.11,-0.12,-0.12,0.15
66391,16.64,1.72,0.48,-0.11,-0.12,-0.12,0.15
66400,19.29,1.72,0.48,-0.11,-0.12,-0.12,0.15
66407,19.02,1.72,0.48,-0.11,-0.12,-0.12,0.15
66959,16.94,1.72,0.48,-0.11,-0.12,-0.12,0.15
67367,17.13,1.72,0.48,-0.11,-0.12,-0.12,0.15
67381,19.8,1.72,0.48,-0.11,-0.12,-0.12,0.15
67399,18.4,1.72,0.48,-0.11,-0.12,-0.12,0.15
68031,18.16,1.72,0.48,-0.11,-0.12,-0.12,0.15
68063,15.57,1.72,0.48,-0.11,-0.12,-0.12,0.15
68216,16.63,1.72,0.48,-0.11,-0.12,-0.12,0.15
68267,17.04,1.72,0.48,-0.11,-0.12,-0.12,0.15
68278,18.5,1.72,0.48,-0.11,-0.12,-0.12,0.15
68346,16.93,1.72,0.48,-0.11,-0.12,-0.12,0.15
68347,19.92,1.72,0.48,-0.11,-0.12,-0.12,0.15
68348,14.26,1.72,0.48,-0.11,-0.12,-0.12,0.15
68350,16.15,1.72,0.48,-0.11,-0.12,-0.12,0.15
68359,18.09,1.72,0.48,-0.11,-0.12,-0.12,0.15
68372,18.97,1.72,0.48,-0.11,-0.12,-0.12,0.15
68548,16.57,1.72,0.48,-0.11,-0.12,-0.12,0.15
68950,16.39,1.72,0.48,-0.11,-0.12,-0.12,0.15
69230,17.68,1.72,0.48,-0.11,-0.12,-0.12,0.15
85182,17.13,1.72,0.48,-0.11,-0.12,-0.12,0.15
85184,18.41,1.72,0.48,-0.11,-0.12,-0.12,0.15
85236,18.75,1.72,0.48,-0.11,-0.12,-0.12,0.15
85275,16.52,1.72,0.48,-0.11,-0.12,-0.12,0.15
85490,14.82,1.72,0.48,-0.11,-0.12,-0.12,0.15
85585,21.64,1.72,0.48,-0.11,-0.12,-0.12,0.15
85628,17.3,1.72,0.48,-0.11,-0.12,-0.12,0.15
85640,21.14,1.72,0.48,-0.11,-0.12,-0.12,0.15
85709,15.93,1.72,0.48,-0.11,-0.12,-0.12,0.15
85713,15.78,1.72,0.48,-0.11,-0.12,-0.12,0.15
85770,20.71,1.72,0.48,-0.11,-0.12,-0.12,0.15
85774,19.16,1.72,0.48,-0.11,-0.12,-0.12,0.15
85804,15.35,1.72,0.48,-0.11,-0.12,-0.12,0.15
85818,15.46,1.72,0.48,-0.11,-0.12,-0.12,0.15
85839,16.63,1.72,0.48,-0.11,-0.12,-0.12,0.15
85867,18.3,1.72,0.48,-0.11,-0.12,-0.12,0.15
85938,18.72,1.72,0.48,-0.11,-0.12,-0.12,0.15
85953,18.15,1.72,0.48,-0.11,-0.12,-0.12,0.15
85989,17.12,1.72,0.48,-0.11,-0.12,-0.12,0.15
85990,20.27,1.72,0.48,-0.11,-0.12,-0.12,0.15
86039,15.97,1.72,0.48,-0.11,-0.12,-0.12,0.15
86067,16.46,1.72,0.48,-0.11,-0.12,-0.12,0.15
86324,15.83,1.72,0.48,-0.11,-0.12,-0.12,0.15
86326,17.42,1.72,0.48,-0.11,-0.12,-0.12,0.15
86450,18.45,1.72,0.48,-0.11,-0.12,-0.12,0.15
86666,16.92,1.72,0.48,-0.11,-0.12,-0.12,0.15
86667,17.54,1.72,0.48,-0.11,-0.12,-0.12,0.15
86819,17.47,1.72,0.48,-0.11,-0.12,-0.12,0.15
86829,15.83,1.72,0.48,-0.11,-0.12,-0.12,0.15
86878,17.68,1.72,0.48,-0.11,-0.12,-0.12,0.15
87024,18.73,1.72,0.48,-0.11,-0.12,-0.12,0.15
87025,18.14,1.72,0.48,-0.11,-0.12,-0.12,0.15
87309,17.61,1.72,0.48,-0.11,-0.12,-0.12,0.15
87311,16.52,1.72,0.48,-0.11,-0.12,-0.12,0.15
87684,16.01,1.72,0.48,-0.11,-0.12,-0.12,0.15
88188,16.1,1.72,0.48,-0.11,-0.12,-0.12,0.15
88213,19.48,1.72,0.48,-0.11,-0.12,-0.12,0.15
88254,17.77,1.72,0.48,-0.11,-0.12,-0.12,0.15
88263,15.69,1.72,0.48,-0.11,-0.12,-0.12,0.15
88264,17.01,1.72,0.48,-0.11,-0.12,-0.12,0.15
88710,17.67,1.72,0.48,-0.11,-0.12,-0.12,0.15
88959,17.45,1.72,0.48,-0.11,-0.12,-0.12,0.15
89136,20.28,1.72,0.48,-0.11,-0.12,-0.12,0.15
89355,15.8,1.72,0.48,-0.11,-0.12,-0.12,0.15
89830,15.0,1.72,0.48,-0.11,-0.12,-0.12,0.15
89958,17.21,1.72,0.48,-0.11,-0.12,-0.12,0.15
89959,16.58,1.72,0.48,-0.11,-0.12,-0.12,0.15
90075,15.37,1.72,0.48,-0.11,-0.12,-0.12,0.15
90147,18.31,1.72,0.48,-0.11,-0.12,-0.12,0.15
90367,17.97,1.72,0.48,-0.11,-0.12,-0.12,0.15
90373,18.81,1.72,0.48,-0.11,-0.12,-0.12,0.15
90403,17.78,1.72,0.48,-0.11,-0.12,-0.12,0.15
90416,18.86,1.72,0.48,-0.11,-0.12,-0.12,0.15
96189,16.48,1.72,0.48,-0.11,-0.12,-0.12,0.15
96315,17.05,1.72,0.48,-0.11,-0.12,-0.12,0.15
96536,15.45,1.72,0.48,-0.11,-0.12,-0.12,0.15
96590,16.29,1.72,0.48,-0.11,-0.12,-0.12,0.15
96631,18.18,1.72,0.48,-0.11,-0.12,-0.12,0.15
96744,14.78,1.72,0.48,-0.11,-0.12,-0.12,0.15
97725,18.75,1.72,0.48,-0.11,-0.12,-0.12,0.15
98943,18.74,1.72,0.48,-0.11,-0.12,-0.12,0.15
99248,16.56,1.72,0.48,-0.11,-0.12,-0.12,0.15
99799,18.54,1.72,0.48,-0.11,-0.12,-0.12,0.15
99907,17.93,1.72,0.48,-0.11,-0.12,-0.12,0.15
99935,16.15,1.72,0.48,-0.11,-0.12,-0.12,0.15
99942,19.09,1.72,0.48,-0.11,-0.12,-0.12,0.15
100004,16.49,1.72,0.48,-0.11,-0.12,-0.12,0.15
100085,17.89,1.72,0.48,-0.11,-0.12,-0.12,0.15
100756,16.34,1.72,0.48,-0.11,-0.12,-0.12,0.15
100926,16.66,1.72,0.48,-0.11,-0.12,-0.12,0.15
