ObjID,FieldMJD_TAI,fieldRA,fieldDec,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedPSFMag,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepth,fiveSigmaDepthAtSource
39265,60490.0357,178.5100284,-24.1976256,178.1202592,-23.2525534,2.9e-06,z,18.692,18.692,0.006,0.006,23.068,23.059
39265,60490.05986,178.5100284,-24.1976256,178.1221998,-23.251459,2.8e-06,i,18.641,18.636,0.004,0.004,23.491,23.481
39265,60490.9946,177.6348378,-22.2110496,178.2009282,-23.2106345,2.8e-06,r,18.842,18.839,0.003,0.003,24.192,24.178
39262,60491.43881,3.9832148,-11.6468338,4.5102501,-10.3021063,2.8e-06,i,17.383,17.383,0.002,0.002,23.521,23.481
39262,60502.41493,3.8785381,-11.9503538,4.9070079,-10.9781419,2.8e-06,r,17.441,17.44,0.002,0.002,23.88,23.845
39262,60502.42626,3.8785381,-11.9503538,4.9071285,-10.9789534,2.8e-06,i,17.332,17.333,0.002,0.002,23.392,23.356
39262,60505.43095,6.5462835,-12.0221883,4.9328675,-11.2021593,2.8e-06,i,17.319,17.314,0.002,0.002,23.381,23.234
39262,60505.4314,3.9708372,-10.5273258,4.9328653,-11.2021952,2.8e-06,i,17.315,17.31,0.002,0.002,23.432,23.416
39262,60505.44433,3.9708372,-10.5273258,4.9328518,-11.2031864,2.8e-06,z,17.3,17.305,0.003,0.003,22.577,22.561
39265,60509.9943,181.8585333,-23.5909222,180.3263438,-22.7302619,5.8e-06,z,18.831,18.815,0.018,0.018,21.779,21.701
39265,60509.9952,178.4395727,-23.28908,180.3264575,-22.7302587,7e-06,z,18.85,18.805,0.022,0.022,21.72,21.448
39265,60509.99609,180.7800431,-21.0193768,180.3265652,-22.7302646,6.2e-06,z,18.824,18.833,0.019,0.019,21.733,21.62
39265,60510.01843,181.8585333,-23.5909222,180.3295506,-22.7300481,7.1e-06,y,18.795,18.803,0.028,0.028,21.22,21.144
39265,60510.01933,178.4395727,-23.28908,180.3296716,-22.7300463,9.1e-06,y,18.838,18.871,0.036,0.036,21.126,20.843
39265,60510.02023,180.7800431,-21.0193768,180.3298043,-22.7300297,7.8e-06,y,18.901,18.82,0.03,0.03,21.15,21.038
39262,60512.34825,4.7291085,-11.6808233,4.8544483,-11.7741137,3.4e-06,z,17.254,17.249,0.006,0.006,21.6,21.6
39262,60512.37253,4.7291085,-11.6808233,4.8537398,-11.7762573,3.5e-06,y,17.25,17.257,0.008,0.008,21.159,21.159
39262,60529.35033,3.980073,-12.867694,3.8414128,-13.473618,2.8e-06,r,17.263,17.257,0.002,0.002,24.028,24.028
39262,60529.37444,3.980073,-12.867694,3.8390703,-13.476252,2.8e-06,i,17.155,17.142,0.002,0.002,23.436,23.436
39262,60540.25183,2.8146536,-13.4535363,2.6160101,-14.7058402,2.8e-06,y,17.063,17.051,0.004,0.004,22.346,22.322
39262,60545.31862,0.8439058,-15.8151435,1.9159274,-15.2900548,2.8e-06,i,17.048,17.018,0.002,0.002,23.322,23.306
39262,60545.34562,0.8439058,-15.8151435,1.9118986,-15.2931613,2.8e-06,z,17.035,17.007,0.002,0.002,23.069,23.054
39262,60545.36981,0.8439058,-15.8151435,1.9082957,-15.2959331,2.8e-06,y,17.034,16.999,0.003,0.003,22.345,22.33
39262,60548.35673,0.4503252,-15.3038911,1.4623516,-15.6387202,2.8e-06,i,17.021,16.994,0.002,0.002,23.844,23.834
39262,60548.3779,0.4503252,-15.3038911,1.4590353,-15.6411318,2.8e-06,z,17.013,16.983,0.002,0.002,23.218,23.208
39262,60549.3581,1.6795557,-16.3331034,1.307873,-15.7529497,2.8e-06,z,16.998,16.979,0.002,0.002,23.254,23.254
39262,60549.37997,1.6795557,-16.3331034,1.3043971,-15.7554216,2.8e-06,y,16.992,16.977,0.004,0.004,22.178,22.178
39262,60566.14982,0.4288663,-17.8887519,358.4617967,-17.5423553,2.8e-06,i,16.935,16.921,0.003,0.003,23.305,22.755
39262,60566.17565,357.252571,-16.874126,358.4571043,-17.5448468,2.8e-06,z,16.931,16.914,0.002,0.002,23.016,22.987
39262,60566.20018,357.252571,-16.874126,358.4526464,-17.5472028,2.8e-06,y,16.93,16.916,0.004,0.004,22.187,22.158
39262,60568.18842,358.1042616,-16.7410145,358.0987043,-17.734795,2.8e-06,z,16.948,16.925,0.002,0.002,23.023,23.014
39262,60568.21267,358.1042616,-16.7410145,358.0942897,-17.7370454,2.8e-06,y,16.945,16.92,0.003,0.003,22.237,22.228
39262,60574.28758,355.7726597,-19.3001449,357.0160622,-18.2668475,2.8e-06,i,17.022,17.004,0.002,0.002,23.21,23.149
39262,60574.28803,357.3995702,-16.9446199,357.0159792,-18.2668853,2.8e-06,i,17.027,17.006,0.002,0.002,23.19,23.157
39262,60574.31024,355.7726597,-19.3001449,357.0120046,-18.2686812,2.8e-06,z,17.004,16.99,0.003,0.003,22.705,22.645
39262,60574.31114,357.3995702,-16.9446199,357.011844,-18.268756,2.8e-06,z,17.011,16.996,0.003,0.003,22.698,22.665
39262,60574.3341,355.7726597,-19.3001449,357.0077394,-18.2705969,2.9e-06,y,16.997,16.988,0.005,0.005,21.693,21.634
39262,60574.335,357.3995702,-16.9446199,357.0075837,-18.2706712,2.9e-06,y,17.0,17.002,0.005,0.005,21.697,21.664
39262,60575.1433,355.6767859,-16.929582,356.8662776,-18.3359276,2.8e-06,g,17.617,17.607,0.002,0.002,24.045,23.832
39262,60580.25167,354.7812409,-18.7987901,355.9833961,-18.7170515,2.8e-06,g,17.7,17.692,0.002,0.002,24.31,24.295
39262,60580.27643,354.7812409,-18.7987901,355.9791225,-18.7187495,2.8e-06,r,17.219,17.213,0.002,0.002,23.824,23.809
39262,60582.1405,355.8981182,-17.8153797,355.6661373,-18.8439795,2.8e-06,u,18.979,18.966,0.004,0.004,24.004,23.994
39262,60583.05813,354.8329283,-18.0368131,355.5141786,-18.9027699,2.9e-06,u,18.997,18.985,0.005,0.005,23.599,23.587
39262,60583.08129,354.8329283,-18.0368131,355.5102768,-18.9042448,2.8e-06,g,17.75,17.74,0.002,0.002,24.412,24.4
39262,60583.09661,354.8329283,-18.0368131,355.507693,-18.9052146,2.8e-06,g,17.751,17.741,0.001,0.001,24.662,24.65
